MODELO;SERIAL ;UBICACION;INCIDENTE ;FECHA DE SOLICITUD;O.S;FECHA DE SERVICIO;TRABAJO REALIZADO POR ST - OBSERVACIONES;UBICACION;RESPONSABLE
P3155dn;R4A2X53607;CERTIF. ACADEMICOS  B1-P1;MANCHAS IMPRESION;28/01/2025;OS 4102308;29/01/2025;LIMPIEZA ;PAMPALINDA;YACUMAL
M3145idn;R4V8802419;TALLER DE IDIOMAS B1-P1;MANCHAS IMPRESION;30/01/2025;OS 4104822;2/03/2025;SE CAMBIO KIT DE U. FUSORA;PAMPALINDA;YACUMAL
M3145idn;R4V8802386;POSGRADOS SALUD B1-P2;MANCHAS IMPRESION;30-01-02025;OS 4105114;2/03/2025;SE CAMBIO KIT DE U. FUSORA;PAMPALINDA;YACUMAL
M3145idn;R4V8802447;UNIDAD MERCADEO B7-P3;MANCHAS IMPRESION;2/03/2025;OS 4107712;2/03/2025;LIMPIEZA ;PAMPALINDA;CAMACHO
M3145idn;R4V8802448;SERVICIO MEDICO B5P2;RAYAS IMPRESION;2/04/2025;OS 4109206;2/05/2025;LIMPIEZA ;PAMPALINDA;CAMACHO
MA5500ifx;WDS3X13724;VICE RECTORIA ADMINISTRATIVA;RUIDO;14/02/2025;OS 4118236;18/02/2025;LIMPIEZA ;PAMPALINDA;CAMACHO
M3145idn;R4V8802445;POSGRADOS INGENIERIA;RUIDO;20/02/2025;OS 4123982;21/02/2025;LIMPIEZA ;PAMPALINDA;CAMACHO
M3655idn;R4P8916497;FACULTAD DE INGENIERIA ;RAYAS IMPRESION;20/02/2025;OS 4123988;21/02/2025;LIMPIEZA ;PAMPALINDA;CAMACHO
M3145idn             ;R4V8802420;USC CENTRO;CONFIGURACIÓN;20/02/2025;OS 4124002;21/02/2025;CONFIGURACION;USC CENTRO;JESUS
P3155dn;R4A2X53344;USC CENTRO;CONFIGURACIÓN;21/02/2025;OS 4124524;21/02/2025;CONFIGURACION;USC CENTRO;JESUS
M3145idn;R4V8802497;JARDIN SANTIAGUITOS;MANCHAS IMPRESION;25/02/2025;OS 4126998;26/02/2025;LIMPIEZA ;PAMPALINDA;CAMACHO
M3655idn;R4P8916485;FACULTAD DE EDUCACION;MANCHAS IMPRESION;25/02/2025;OS 4127000;26/02/2025;LIMPIEZA ;PAMPALINDA;CAMACHO
FI-7260 ;A3MAC41807;TIENDA SANTIAGUINA;LIMPIEZA E INSTALACION;25/02/2025;OS 4127508;26/02/2025;LIMPIEZA E INSTALACION;PAMPALINDA;CAMACHO
P3045DN;VM38Z28086;RESTAURANTE SAN CARLO;INSTALACION POR RED;3/11/2025;OS 4140370;14/03/2025;CONFIGURACION;RESTAURANTE SAN CARLO;JESUS
FI-7260 ;A3MAC41699;ARCHIVO REGISTRO Y CONTROL;LIMPIEZA E INSTALACION;17/03/2025;OS 4145646;18/03/2025;LIMPIEZA E INSTALACION;USC PALMIRA;JESUS
P3155DN;R4A2X53353;PROG DERECHO JURÍDICO-PALMIRA;MANCHAS IMPRESION;17/03/2025;OS 4145934;19/03/2025;LIMPIEZA ;USC PALMIRA;JESUS
MA5500ifx;WDS3X13701;TALLER DE MANTENIMIENTO;MANCHAS IMPRESION;18/03/2026;OS 4146346;18/03/2025;LIMPIEZA ;PAMPALINDA;CAMACHO
MA5500ifx;WDS3X13746;CONSULTORIO JURÍDICO CENTRO;INSTALACION ;26/03/2025;OS 4152652;27/03/2025;INSTALACION;USC CENTRO;CAMACHO
P3155dn;R4A2X53608;RECREACION DEPORTE;LIMPIEZA  ;4/01/2025;OS 4157920;4/03/2025;LIMPIEZA ;PAMPALINDA;CAMACHO
P3045DN;VM38Z27771;VICE RECTORIA ACADEMICA;NO ENCIENDE;4/03/2025;OS 4161024;4/04/2025;TARJETA QUEMADA;PAMPALINDA;JESUS
MA5500ifx;WDS3X13742;VICERRECTORIA ACADEMICA;LIMPIEZA  ;4/04/2025;OS 4161852;4/05/2025;LIMPIEZA ;PAMPALINDA;JESUS
M3655idn;R4P8916295;FACULTAD COMUNICACION;MANCHAS IMPRESION;23/04/2025;OS 4174744;24/04/2025;LIMPIEZA ;PAMPALINDA;JESUS
M3145idn;R4V8802396;ARCHIVO CONTABLE;LIMPIEZA  ;13/05/2025;OS  4192812;13/05/2025;MANCHAS ;PAMPALINDA;JESUS
M3145idn;R4V8802497;JARDIN SANTIAGUITOS;MANCHAS IMPRESION;14/05/2025;OS 4194126;15/05/2025;LIMPIEZA ;PAMPALINDA;CAMACHO
FI-7260;A3MAC41697;DIRECCION FINANCIERA;INSTALACION;19/05/2025;OS  4197728;20/05/2025;INSTALACION;PAMPALINDA;CAMACHO
MA5500ifx;WDS3X13728;FACULTAD SALUD;ATASCO CONTINUO;20/05/2025;OS  4198930;21/05/2025;LIMPIEZA ;PAMPALINDA;CAMACHO
