MODELO;SERIE;REFERENCIA;REMISION;UBICACACION;AREA;RECIBE;OS;FECHA;SOLICITUD;OBSERVACION
M3145idn;R4V8802494;TK-3162;6757582;PAMPALINDA;PREICFES_B1P4;Yacumal;3968458;20/08/2024;KFS;
P3155dn;R4A2X53356;TK-3182;6759434;PAMPALINDA;SEC.ACAD.EDUCACION B2-P1;Yacumal;3970356;21/08/2024;KFS;
P3155dn;R4A2X53608;TK-3182;6759302;PAMPALINDA;RECREACION_DEPORTE_B5P3;Yacumal;3969580;21/08/2024;KFS;
M3145idn;R4V8802448;FK-3202;6758850;PAMPALINDA;SERVICIO_MEDICO_B5P2;Yacumal;3968220;21/08/2024;ST;
MA5500ifx;WDS3X13415;TK-3432;6762841;PAMPALINDA;DGI;Yacumal;3972676;23/08/2024;KFS;
MA5500ifx;WDS3X13700;TK-3432;6763926;PAMPALINDA;VACUNACION;Yacumal;3973828;26/08/2024;KFS;
M3145idn;R4V8802396;302F906230;6763610;PAMPALINDA;ARCHIVO CONTABILIDAD;Yacumal;3972696;26/08/2024;ST;
M3145idn;R4V8802396;302F909170;6763610;PAMPALINDA;ARCHIVO CONTABILIDAD;Yacumal;3972696;26/08/2024;ST;
M3145idn;R4V8802396;302HN06080;6763610;PAMPALINDA;ARCHIVO CONTABILIDAD;Yacumal;3972696;26/08/2024;ST;
MA5500ifx;WDS3X13723;TK-3432;6765692;PAMPALINDA;JURIDICO;Yacumal;3975650;26/08/2024;KFS;
M3145idn;R4V8802447;TK-3162;6766492;PAMPALINDA;UNIDAD DE MERCADEO;Yacumal;3976474;28/08/2024;CORREO;
M3145idn;R4V8802448;TK-3162;6766492;PAMPALINDA;SERVICIO_MEDICO_B5P2;Yacumal;3976564;28/08/2024;CORREO;
M3145idn;R4V8802381;TK-3162;6766492;PAMPALINDA;DIR- BIENESTAR UNIVERSITARIO;Yacumal;3976544;28/08/2024;CORREO;
P3045dn;VM38Z27768;TK-3162;6766492;PAMPALINDA;CONTABILIDAD 2;Yacumal;3976504;28/08/2024;CORREO;
P3045dn;VM38Z27787;TK-3162;6766511;PAMPALINDA;CONTABILIDAD;Yacumal;3976523;16/09/2024;CORREO;
P3045dn;VM38Z27788;TK-3162;6766512;PAMPALINDA;ARCHIVO CONTABILIDAD;Yacumal;3976524;17/09/2024;CORREO;
P3045dn;VM38Z27789;TK-3162;6766513;PAMPALINDA;CONTABILIDAD 2;Yacumal;3976525;18/09/2024;CORREO;
P3045dn;VM38Z27790;TK-3162;6766514;PAMPALINDA;JARDIN SANTIAGUITOS;Yacumal;3976526;19/09/2024;CORREO;
P3045dn;VM38Z27791;TK-3162;6766515;PAMPALINDA;BIBLIOTECA ;Yacumal;3976527;20/09/2024;CORREO;
P3045dn;VM38Z27792;TK-3162;6766516;PAMPALINDA;CONTABILIDAD 2;Yacumal;3976528;21/09/2024;CORREO;
P3045dn;VM38Z27793;TK-3162;6766517;PAMPALINDA;SERVICIOS GENERALES;Yacumal;3976529;22/09/2024;CORREO;
P3045dn;VM38Z27779;TK-3162;6766503;PAMPALINDA;HOSPITAL SIMULADO;Yacumal;3976515;8/09/2024;CORREO;
