SEDE,MODELO,SERIE,UBICACION
PAMPALINDA,MA5500IFX,WDS3X13721,COMPRAS Y SUMINISTROS
PALMIRA,MA5500IFX,WDS3X13495,PROGRAMAS DE SALUD
PAMPALINDA,MA5500IFX,WDS3X13415,DIRECCION DE INVESTIGACIONES
PAMPALINDA,FS-M3655 IDN,R4P8916483,CONTABILIDAD
PAMPALINDA,MA5500IFX,WDS3X13723,DEPARTAMENTO JURIDICO
PAMPALINDA,FS-P3155 DN,R4A2X53603,DIRECCION FACULTAD DE SALUD 2
CENTRO,MA5500IFX,WDS3X13746,DIRECCION GENERAL PISO 1
PAMPALINDA,FS-P3155 DN,R4A2X53597,DIRECCION FACULTAD DE SALUD 1
PAMPALINDA,FS-M3145 IDN,R4V8802447,UNIDAD DE MERCADEO
CENTRO,MA5500IFX,WDS3X13750,CENTRO DE CONCILIACIÓN Y ARBITRAJE PISO 2
PAMPALINDA,FS-M3655 IDN,R4P8916488,FACULTAD DE DERECHO 
PAMPALINDA,FS-M3655 IDN,R4P8916186,FACULTAD DE CIENCIAS ECONOMICAS
PAMPALINDA,MA5500IFX,WDS3X13675,GESTION HUMANA RECEPCION
PAMPALINDA,FS-P3155 DN,R4A2X53607,CERTIFICADOS
PAMPALINDA,MA5500IFX,WDS3X13677,SECRETARIA GENERAL
PALMIRA,MA5500IFX,WDS3X13493,ADMINISTRACION DE EMPRESAS
PAMPALINDA,FS-M3655 IDN,R4P8916180,DEPARTAMENTO DE CIENCIAS BASICAS
PAMPALINDA,FS-M3655 IDN,R4P8916485,DECANATURA FACULTAD DE EDUCACION
PAMPALINDA,MA5500IFX,WDS3X13728,FACULTAD DE SALUD
PAMPALINDA,FS-M3655 IDN,R4P8916497,FACULTAD DE INGENIERIA
PAMPALINDA,FS-P3155 DN,R4A2X53608,RECREACION Y DEPORTE
PAMPALINDA,FS-P3155 DN,R4A2X53582,PROGRAMA DE MEDICINA
CENTRO,FS-M3145 IDN,R4V8802430,EDUCACIÓN CONTINUADA PISO 2
PAMPALINDA,MA5500IFX,WDS3X13729,PAGADURIA
PAMPALINDA,MA5500IFX,WDS3X13683,CLINICA ODONTOLOGICA RECEPCION
PALMIRA,FS-P3045 DN,VM38Z28179,CENTRO CONCILIACION 
PAMPALINDA,FS-M3145 IDN,R4V8802448,COORDINACIÓN AREA DE SALUD
PAMPALINDA,FS-P3045 DN,VM38Z27768,CONTABILIDAD 2
PAMPALINDA,FS-P3045 DN,VM38Z27972,MICROBIOLOGIA
PAMPALINDA,FS-M3145 IDN,R4V8802440,SERVICIOS FINANCIEROS
PAMPALINDA,FS-M3145 IDN,R4V8802494,PREICFES
PAMPALINDA,FS-P3155 DN,R4A2X53790,CONTABILIDAD CERVECERIA USACA
PAMPALINDA,FS-M3145 IDN,R4V8802381,GERENCIA BIENESTAR
PAMPALINDA,MA5500IFX,WDS3X13724,VICERECTORIA ADMINISTRATIVA
CENTRO,FS-M3145 IDN,R4V8802420,EXTENSIÓN PISO 2
PAMPALINDA,MA5500IFX,WDS3X13727,GESTION TECNOLOGICA
PAMPALINDA,FS-M3655 IDN,R4P8916293,SALA DE PROFESORES
PAMPALINDA,FS-P3155 DN,R4A2X53787,GESTION HUMANA 
PAMPALINDA,FS-M3655 IDN,R4P8916296,REGISTRO Y CONTROL
PAMPALINDA,FS-M3655 IDN,R4P8916502,ASEGURAMIENTO DE LA CALIDAD
PAMPALINDA,FS-P3155 DN,R4A2X53604,CAJA CLINICA ODONTOLOGICA
PAMPALINDA,FS-P3155 DN,R4A2X53606,DIRECCION DE DERECHO
PAMPALINDA,FS-M3145 IDN,R4V8802445,POSGRADOS INGENIERIA
PAMPALINDA,FS-M3145 IDN,R4V8802454,AUDITORIA INTERNA 
PAMPALINDA,MA5500IFX,WDS3X13679,SECRETARIA ACADEMICA FACULTAD DE DERECHO
PAMPALINDA,FS-P3045 DN,VM38Z28113,DIRECCION FACULTAD DE EDUCACION
PALMIRA,FS-P3155 DN,R4A2X53353,DERECHO
PAMPALINDA,FS-M3145 IDN,R4V8802386,POSGRADOS EN SALUD
PAMPALINDA,FS-M3655 IDN,R4P8916295,FACULTAD DE COMUNICACION SOCIAL Y PUBLICIDAD
PAMPALINDA,MA5500IFX,WDS3X13701,ALMACEN MANTENIMIENTO
PAMPALINDA,FS-M3145 IDN,R4V8802498,SERVICIOS GENERALES UNIVERSITARIOS
PAMPALINDA,FS-M3145 IDN,R4V8802492,TECNICOS LABORALES 1
PAMPALINDA,FS-P3155 DN,R4A2X53336,DIRECCION DE CIENCIAS ECONOMICAS
PAMPALINDA,FS-P3045 DN,VM38Z27960,COORDINACION AMBIENTAL
CLINICA VETERINARIA,FS-M3145 IDN,R4V8802391,RECEPCION
PAMPALINDA,FS-P3155 DN,R4A2X53354,DIRECCION LABORATORIOS
PALMIRA,FS-P3045 DN,VM38Z28177,BIENESTAR UNIVERSITARIO
PAMPALINDA,FS-P3155 DN,R4A2X53611,ALMACEN LABORATORIOS
PALMIRA,FS-M3145 IDN,R4V8802429,DIRECCION
PAMPALINDA,FS-M3145 IDN,R4V8802504,UNIDAD DE ACTIVOS FIJOS
PAMPALINDA,MA5500IFX,WDS3X13725,SECRETARIA ACADEMICA FACULTAD DE SALUD
PALMIRA,FS-M3145 IDN,R4V8802422,UNIDAD DE MERCADEO
PAMPALINDA,FS-M3145 IDN,R4V8802496,HOSPITAL SIMULADO
PAMPALINDA,FS-P3155 DN,R4A2X53610,ICETEX
PALMIRA,MA5500IFX,WDS3X13730,REGISTRO Y CONTROL A.
PAMPALINDA,FS-M3145 IDN,R4V8802355,DEPARTAMENTO DE HUMANIDADES
PAMPALINDA,FS-M3145 IDN,R4V8802500,INSTITUTO DE IDIOMAS
PAMPALINDA,FS-P3045 DN,VM38Z27989,POSGRADOS CIENCIAS ECONOMICAS
PAMPALINDA,FS-P3155 DN,R4A2X53356,SECRETARIA ACADEMICA FACULTAD DE EDUCACION
PAMPALINDA,MA5500IFX,WDS3X13742,VICERECTORIA ACADEMICA
PAMPALINDA,FS-M3145 IDN,R4V8802497,JARDIN INFANTIL SANTIAGUITOS
PAMPALINDA,FS-P3155 DN,R4A2X53602,CONTADORA
PAMPALINDA,FS-P3155 DN,R4A2X53850,SECRETARIA ACADEMICA CIENCIAS ECONOMICAS
CENTRO,FS-P3045 DN,VM38Z27867,CONCIIACIÓN PISO 1
PALMIRA,FS-M3145 IDN,R4V8802418,FINANCIERO
PAMPALINDA,FS-P3155 DN,R4A2X53349,VENTANILLA 
PAMPALINDA,FS-P3155 DN,R4A2X53853,ARCHIVO CENTRAL 2
PAMPALINDA,FS-M3145 IDN,R4V8802495,CELOA
PAMPALINDA,MA5500IFX,WDS3X13700,UNIDAD DE VACUNACION
PAMPALINDA,FS-P3045 DN,VM38Z28191,UNIDAD DE CORRESPONDENCIA
PALMIRA,FS-P3045 DN,VM38Z28187,LABORATORIOS
PALMIRA,FS-P3045 DN,VM38Z28184,SERVICIO MEDICO
PAMPALINDA,FS-M3145 IDN,R4V8802390,BIBLIOTECA
CENTRO,FS-P3155 DN,R4A2X53344,EDUCACIÓN CONFIRMADA PISO 2
PAMPALINDA,FS-M3145 IDN,R4V8802396,ARCHIVO CONTABLE
PAMPALINDA,FS-P3045 DN,VM38Z28185,DECANATURA DE SALUD
PAMPALINDA,FS-P3045 DN,VM38Z27747,SERVICIOS UNIVERSITARIOS
PAMPALINDA,MA5500IFX,WDS3X13124,METROLOGIA
PAMPALINDA,MA5500IFX,WDS3X13719,RECTORIA
PALMIRA,FS-P3045 DN,VM38Z28195,SERVICIOS UNIVERSITARIOS
PAMPALINDA,FS-M3145 IDN,R4V8802384,ARCHIVO DE REGISTRO Y CONTROL
PAMPALINDA,FS-M3145 IDN,R4V8802382,DIRECCION GESTION DE LA CALIDAD
CLINICA VETERINARIA,FS-P3045 DN,VM38Z28084,INSUMOS Y DISPENSACION
PAMPALINDA,FS-P3045 DN,VM38Z28081,DECANATURA INGENIERIA
PAMPALINDA,FS-M3145 IDN,R4V8802451,UNIDAD DE COMUNICACIÓN Y PRENSA
PAMPALINDA,FS-P3155 DN,R4A2X53598,COORDINACION CENTRO RECREACIONAL
PAMPALINDA,FS-P3045 DN,VM38Z28190,PLANTA CERVECERIA
PAMPALINDA,FS-P3045 DN,VM38Z27974,CEPA
PAMPALINDA,FS-P3045 DN,VM38Z27807,TIENDA SANTIAGUINA
PALMIRA,FS-M3145 IDN,R4V8802419,TIENDA SANTIAGUINA PALMIRA
PAMPALINDA,FS-M3145 IDN,R4V8802441,UNIMEDIOS
CLINICA VETERINARIA,FS-P3045 DN,VM38Z27751,ESTACION DE ENFERMERIA
PALMIRA,FS-P3045 DN,VM38Z28196,BIBLIOTECA
PAMPALINDA,FS-M3145 IDN,R4V8802450,CEIDE
PAMPALINDA,FS-M3145 IDN,R4V8802499,CONVENIOS DE SALUD
PAMPALINDA,FS-P3045 DN,VM38Z28087,APARTAHOTEL
PAMPALINDA,FS-P3045 DN,VM38Z28188,SECRETARIA ACAD COMUNICACIÓN
PALMIRA,FS-P3045 DN,VM38Z28029,CELOA
PAMPALINDA,FS-M3145 IDN,R4V8802452,DEPARTAMENTOS DE SALUD
PAMPALINDA,FS-P3045 DN,VM38Z28080,GERENCIA FINANCIERA
PALMIRA,FS-P3045 DN,VM38Z28183,TECNICO LABORALES
PAMPALINDA,FS-P3045 DN,VM38Z27771,CONTABILIDAD 3
PAMPALINDA,FS-P3045 DN,VM38Z27970,INSCRIPCIONES Y ADMISIONES
PAMPALINDA,FS-P3155 DN,R4A2X53605,FINANCIERO CAJA
PALMIRA,FS-P3045 DN,VM38Z28182,SERVICIOS GENERALES
PAMPALINDA,FS-P3045 DN,VM38Z28088,CANCHAS SINTETICAS
PALMIRA,FS-P3045 DN,VM38Z28199,GESTION TECNOLOGICA
PALMIRA,FS-P3045 DN,VM38Z28186,DIRECCION
CENTRO,FS-P3045 DN,VM38Z28192,JURÍDICO VIRTUAL PISO 1
PALMIRA,FS-M3145 IDN,R4V8802397,CONSULTORIO JURIDICO
RESTAURANTE SANCARLO,FS-P3045 DN,VM38Z28086,RESTAURANTE SANCARLO
PAMPALINDA,FS-P3045 DN,VM38Z27976,BIBLIOTECA PAZ Y SALVOS
PAMPALINDA,FS-P3045 DN,VM38Z28078,VICERRECTORA ACADEMICA
PAMPALINDA,FS-P3045 DN,VM38Z27765,AIRE ACONDICIONADO
PAMPALINDA,FS-P3045 DN,VM38Z27997,OFICINA SECRETARIA GENERAL
PAMPALINDA,FS-M3145 IDN,R4V8802486,REVISORIA FISCAL
PAMPALINDA,FS-P3045 DN,VM38Z27770,COORDINACION PAGADURIA
PAMPALINDA,FS-P3045 DN,VM38Z27900,TECNICOS LABORALES 2
PAMPALINDA,FS-P3045 DN,VM38Z27757,CAPELLANIA USC
PAMPALINDA,FS-P3045 DN,VM38Z27749,GIMNASIO USC
PAMPALINDA,FI-7260 ,A3RDC08113 -SCANNER,ARCHIVO GESTION HUMANA
PAMPALINDA,FI-7260 ,A3MAC41807 -SCANNER,TIENDA SANTIAGUINA
PAMPALINDA,FI-7260 ,A3MAC41699 -SCANNER,ARCHIVO REGISTRO Y CONTROL
PAMPALINDA,FI-7260 ,A3MAC41697 -SCANNER,DIRECCION FINANCIERA
PAMPALINDA,FI-7260 ,A3RDC08112 -SCANNER,ARCHIVO PAGADURIA
